x,y
1,1
3,1
4,1
5,2
6,4
7,2
8,1
9,1
10,1
11,1
15,1
17,2
18,1
19,1
20,2
21,2
22,1
24,1
25,1
26,1
27,2
30,2
31,2
32,1
34,2
36,1
37,1
38,1
40,1
41,4
42,1
43,4
44,1
46,2
47,1
48,1
49,2
50,4
51,2
52,1
53,1
55,3
57,1
58,1
60,4
61,1
64,1
65,2
68,1
69,2
70,1
71,1
72,3
73,3
74,5
75,3
76,2
77,3
78,2
79,2
80,4
81,1
82,1
83,1
84,3
86,1
87,2
88,3
89,2
90,5
91,2
92,1
93,3
94,2
96,3
97,4
98,5
99,4
100,3
101,2
102,1
103,4
104,2
105,2
106,2
107,4
108,4
109,1
110,1
111,5
112,3
113,4
114,2
116,2
117,5
119,1
120,6
121,4
122,2
123,4
124,1
125,1
126,1
127,2
128,2
129,3
130,4
131,1
132,1
133,3
134,4
135,5
136,5
137,6
138,1
139,2
140,3
141,1
142,1
144,5
145,3
146,3
147,3
148,1
149,1
151,2
152,5
153,2
154,4
155,2
156,1
157,2
158,2
159,2
160,3
162,3
163,4
164,1
165,6
167,5
168,3
169,2
170,1
171,3
172,1
173,3
174,1
175,5
176,3
177,1
178,3
179,1
180,2
181,3
182,4
183,1
184,2
185,5
186,1
187,3
188,3
189,1
190,5
191,2
192,1
193,2
194,5
195,5
196,5
197,7
198,2
199,3
200,2
201,2
202,2
203,5
204,1
205,5
206,4
207,4
208,1
209,3
210,4
211,5
212,3
213,1
214,3
215,7
216,3
217,4
218,7
219,2
220,8
221,5
222,5
223,7
224,6
225,1
226,5
227,5
228,2
229,2
230,7
231,6
232,2
233,2
234,6
235,2
236,7
237,5
238,5
239,5
240,3
241,7
242,7
243,4
244,6
245,3
246,4
247,3
248,3
249,3
250,3
251,5
252,3
253,6
254,8
255,4
256,5
257,5
258,3
259,4
260,3
261,3
262,6
263,7
264,4
265,1
266,4
267,3
268,5
269,8
270,7
271,5
272,5
273,5
275,8
276,4
277,9
278,5
279,1
280,5
281,5
282,4
283,4
284,6
285,7
286,6
287,4
288,6
289,5
290,9
291,7
292,5
293,5
294,5
295,3
296,3
297,3
298,5
299,7
300,6
301,10
302,6
303,6
304,7
305,5
306,6
307,6
308,7
309,4
310,3
311,2
312,11
313,1
314,4
315,6
316,5
317,6
318,6
319,8
320,9
321,7
322,4
323,4
324,10
325,5
326,2
327,5
328,4
329,1
330,2
331,5
332,5
333,8
334,5
335,3
336,5
337,8
338,5
339,7
340,3
341,3
342,4
343,6
344,7
345,7
346,6
347,7
348,8
349,3
350,6
351,11
352,5
353,3
354,4
355,4
356,8
357,10
358,7
359,8
360,6
361,2
362,6
363,5
364,7
365,3
366,2
367,5
368,8
369,5
370,4
371,2
372,3
373,5
374,4
375,7
376,7
377,7
378,3
379,4
380,4
381,11
382,9
383,6
384,6
385,2
386,14
387,7
388,7
389,3
390,5
391,9
392,4
393,3
394,6
395,5
396,5
397,3
398,8
399,4
400,6
401,4
402,3
403,4
404,4
405,5
406,2
407,6
408,7
409,6
410,2
411,2
412,2
413,1
414,6
415,3
416,6
417,3
418,8
419,5
420,8
421,3
422,9
423,5
424,3
425,6
426,4
427,7
428,7
429,5
430,5
431,6
432,6
433,5
434,6
435,5
436,7
437,6
438,5
439,9
440,3
441,5
442,7
443,3
444,4
445,3
446,7
447,4
448,4
449,7
450,1
451,3
452,3
453,5
454,8
455,6
456,7
457,4
458,4
459,6
460,5
461,3
462,6
463,2
464,4
466,4
467,3
468,3
469,6
470,5
471,2
472,2
473,3
474,5
475,4
476,3
477,1
478,2
479,7
480,2
481,4
482,2
483,2
484,7
485,3
486,4
487,7
488,4
489,3
490,2
492,4
493,6
494,1
495,5
496,3
497,3
498,1
499,4
500,3
501,1
504,4
505,7
506,2
507,2
508,2
509,3
510,6
511,3
512,4
513,1
514,4
515,4
516,1
517,2
518,3
519,3
520,2
521,3
522,2
523,1
524,2
525,2
526,2
527,4
528,1
529,2
530,1
531,2
532,2
533,2
535,1
536,3
537,1
538,1
539,1
540,1
541,2
542,1
543,2
544,1
545,1
546,1
547,2
548,2
549,2
550,3
551,2
552,2
555,2
556,1
557,1
558,2
559,2
560,1
561,1
562,1
563,1
564,6
565,1
566,1
567,1
568,1
571,2
572,1
573,1
576,1
579,2
580,2
582,1
583,1
584,1
586,4
587,1
588,1
595,2
596,1
597,1
599,1
603,1
607,1
610,2
612,1
617,1
619,1
620,1
621,1
622,1
630,1
635,1
637,1
638,1
645,1
648,1
662,3
672,2
674,1
