x,y
1,4
3,1
4,2
5,2
6,1
7,3
8,1
9,3
10,2
11,1
12,2
13,1
14,2
15,2
17,1
18,5
19,2
20,2
21,1
22,1
23,3
24,1
26,1
28,2
29,3
31,1
32,2
33,2
34,2
36,2
37,1
38,1
39,3
40,2
41,3
42,1
43,2
44,1
45,1
46,4
47,1
48,1
49,1
55,1
56,2
57,1
64,2
65,1
69,1
71,1
72,1
74,1
76,1
77,2
78,1
79,1
81,1
83,1
85,1
87,1
89,1
90,1
92,1
93,1
94,1
95,1
96,1
99,1
108,1
110,1
114,1
121,1
125,1
127,1
133,1
134,1
136,1
137,1
140,1
141,1
147,2
149,1
153,1
155,1
156,1
159,1
162,1
163,1
168,1
173,2
175,1
177,1
178,1
179,1
180,1
181,1
182,1
185,3
187,1
188,1
189,1
191,2
194,1
196,3
199,1
200,1
206,1
209,1
210,1
211,1
213,1
217,1
218,1
220,2
222,1
224,1
225,1
233,1
235,1
236,1
237,1
238,1
239,1
241,1
246,2
248,1
251,2
253,1
258,1
263,1
267,1
269,2
271,1
277,1
278,1
279,1
287,1
296,1
303,1
304,1
312,1
314,1
317,1
326,1
327,1
330,1
331,1
334,1
337,1
338,1
339,1
345,1
346,1
349,1
350,1
354,2
357,1
360,1
370,1
374,1
382,1
383,1
384,1
385,2
397,1
402,1
419,1
420,1
427,1
428,1
432,1
441,2
442,2
444,1
445,1
460,1
464,1
468,2
472,1
479,1
482,1
488,1
499,1
537,1
551,1
556,1
565,1
566,1
591,1
